Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Benin,9.3,1.9,1.7,-2.0,0.4,4.3,2.7,-2.1,3.4,-2.8,9.0,4.2,3.0,5.8,2.0,6.0,4.3,5.7,4.0,4.4,5.9,5.3,4.6,3.4,4.4,1.7,3.9,6.0,4.9,2.3,2.1,3.0,4.8,7.2,6.4,1.8,3.3,5.7,6.7,6.9,3.8,7.2,6.0,6.0,5.9,6.1,6.0,6.0,5.9
Bhutan,5.0,13.6,8.2,7.3,7.6,4.3,8.0,20.2,15.1,6.2,9.1,4.9,2.1,3.2,2.2,6.0,6.0,5.5,6.0,7.1,6.9,7.0,9.5,9.3,6.9,6.7,7.1,12.9,11.0,5.8,9.5,9.9,6.5,3.6,4.0,6.2,7.4,6.3,3.8,4.4,-2.3,-3.3,4.3,4.7,3.4,5.4,7.2,4.0,3.9
Bolivia,0.6,0.3,-3.9,-4.0,-0.2,-1.7,-2.6,2.5,2.9,3.8,4.6,5.3,1.6,4.3,4.7,4.7,4.4,5.0,5.0,0.4,2.5,1.7,2.5,2.7,4.2,4.4,4.8,4.6,6.1,3.4,4.1,5.2,5.1,6.8,5.5,4.9,4.3,4.2,4.2,2.2,-8.7,6.1,3.2,1.8,1.9,2.1,2.2,2.3,2.3
Bosnia and Herzegovina,6.54,5.015384615384615,5.344444444444444,5.985185185185185,6.951851851851851,6.3962962962962955,7.27037037037037,7.229629629629629,7.17037037037037,7.3999999999999995,5.3,1.1733333333333333,0.7903225806451606,0.8815789473684212,3.3274999999999997,20.7,62.2,22.9,13.8,10.7,4.4,2.4,5.1,3.9,6.3,4.2,5.7,6.0,5.6,-0.8,0.8,0.9,-0.7,2.4,1.1,4.3,3.2,3.2,3.8,2.9,-3.0,7.4,3.8,2.0,3.0,3.0,3.0,3.0,3.0
Botswana,12.0,8.2,15.9,10.8,6.5,7.7,8.6,14.9,23.4,4.7,8.8,6.2,-0.2,4.0,-0.8,8.5,2.5,7.1,-1.6,8.0,4.3,2.3,7.4,5.4,1.4,5.0,6.0,5.8,3.3,-14.1,10.1,6.8,-0.2,11.1,5.7,-4.9,7.2,4.1,4.2,3.0,-8.7,11.8,6.4,3.7,4.3,4.0,4.0,4.0,4.0
Brazil,9.2,-4.4,0.6,-3.4,5.3,7.9,7.5,3.6,0.3,3.2,-4.2,1.0,-0.5,4.7,5.3,4.4,2.2,3.4,0.3,0.5,4.4,1.4,3.1,1.1,5.8,3.2,4.0,6.1,5.1,-0.1,7.5,4.0,1.9,3.0,0.5,-3.5,-3.3,1.3,1.8,1.2,-3.3,5.0,2.9,0.9,1.5,1.9,2.0,2.0,2.0
Brunei Darussalam,5.128571428571428,6.857142857142856,4.199999999999999,4.142857142857142,4.257142857142856,0.9571428571428573,-2.7,2.0,1.1,-1.1,1.1,3.1,4.8,0.3,3.1,4.5,2.9,-1.5,-0.6,3.1,2.9,2.7,3.9,2.9,0.5,0.4,4.4,0.2,-1.9,-1.8,2.6,3.7,0.9,-2.1,-2.5,-0.4,-2.5,1.3,0.1,3.9,1.1,-1.6,-1.5,3.3,3.5,3.1,2.4,3.2,3.1
Bulgaria,5.7,5.3,4.2,3.0,4.6,1.8,5.3,4.7,2.4,-0.5,-9.1,-10.8,-8.4,-11.6,-3.7,-1.6,-8.0,-14.1,3.8,-8.4,4.6,3.8,5.9,5.2,6.5,7.1,6.8,6.7,6.1,-3.3,1.5,2.1,0.8,-0.6,1.0,3.4,3.0,2.8,2.7,4.0,-4.0,7.6,3.4,1.4,3.5,2.9,2.8,2.8,2.8
Burkina Faso,4.0,2.7,1.4,-1.2,1.6,11.3,8.0,-0.2,5.8,2.2,-0.6,9.1,0.2,3.5,1.3,5.7,11.0,6.3,7.3,7.3,1.9,6.6,4.4,7.8,4.5,8.7,6.3,4.1,5.8,3.0,8.4,6.6,6.5,5.8,4.3,3.9,6.0,6.2,6.6,5.7,1.9,6.9,2.5,4.9,5.9,5.8,5.3,5.2,5.2
Burundi,-6.8,12.2,-1.1,3.7,0.2,11.8,3.2,5.5,5.0,1.3,3.5,5.8,1.0,-6.2,-3.8,-7.9,-8.0,0.4,4.8,1.2,1.8,1.7,2.4,2.5,3.8,4.4,5.4,3.5,4.9,3.8,5.1,4.0,4.4,4.9,4.2,-3.9,-0.6,0.5,1.6,1.8,0.3,3.1,1.8,3.3,6.0,5.9,5.7,5.9,5.5
Cabo Verde,5.3,8.4,2.8,9.5,3.8,8.6,2.9,4.3,6.0,5.7,0.7,1.4,3.0,7.3,6.9,7.5,6.7,7.6,8.4,11.9,7.3,6.1,5.3,7.5,4.9,5.8,9.1,9.2,6.7,-1.3,1.5,4.0,1.1,0.8,0.6,1.0,4.7,3.7,14.6,5.7,-14.8,7.0,10.5,4.4,5.4,5.3,5.0,4.5,4.5
Cambodia,9.760462962962963,11.48903439153439,8.831891534391534,8.774748677248677,8.889034391534391,5.589034391534392,6.544391534391535,8.544391534391535,9.6,3.3,1.1,7.6,7.1,4.0,8.2,6.0,5.9,4.0,4.7,12.7,9.6,8.6,6.6,8.5,10.3,13.3,10.8,10.2,6.7,0.1,6.0,7.1,7.3,7.4,7.1,7.0,6.9,7.0,7.5,7.1,-3.1,3.0,5.0,5.8,6.2,6.4,6.5,6.2,6.3
Cameroon,9.9,17.1,7.6,6.8,7.5,8.1,6.8,-2.2,-7.9,-1.8,-6.2,-3.8,-3.1,-3.2,-2.5,3.3,4.9,5.3,4.9,4.1,3.4,3.4,4.8,5.0,6.6,1.2,3.5,4.1,2.9,2.6,2.9,3.5,4.5,5.0,5.8,5.6,4.5,3.5,4.0,3.4,0.5,3.6,3.4,4.3,4.4,4.5,4.6,4.7,4.7
Canada,2.2,3.5,-3.2,2.6,5.9,4.7,2.1,4.1,4.4,2.3,0.2,-2.1,0.9,2.7,4.5,2.7,1.6,4.3,3.9,5.2,5.2,1.8,3.0,1.8,3.1,3.2,2.6,2.1,1.0,-2.9,3.1,3.1,1.8,2.3,2.9,0.7,1.0,3.0,2.8,1.9,-5.1,5.0,3.4,1.5,1.5,2.2,1.9,1.7,1.7
Caribbean,4.3,2.2,0.2,-1.9,-0.2,-0.1,1.9,1.7,0.4,1.8,1.6,0.6,2.5,0.0,-0.5,5.0,4.2,3.6,3.1,3.8,3.2,1.7,2.8,5.8,3.2,3.4,6.5,3.7,1.8,-1.6,0.1,2.0,2.2,2.5,2.0,0.7,-0.8,0.4,1.7,0.7,-4.8,4.5,13.4,9.9,14.1,2.5,13.8,2.3,2.3
Central African Republic,-3.0,13.0,-3.6,-6.0,9.9,3.7,7.2,0.0,1.7,3.8,1.4,-0.8,-4.9,-1.2,12.6,3.2,-6.2,4.1,3.3,2.9,-3.6,2.6,2.1,-2.2,-0.1,2.9,4.8,4.0,2.6,2.8,4.6,4.2,5.1,-36.4,0.1,4.3,4.7,4.5,3.8,3.0,1.0,1.0,0.4,2.5,3.8,3.8,3.8,3.7,3.3
Central America,2.3,1.4,-1.8,0.9,2.1,0.2,2.2,4.4,0.1,3.2,1.8,2.2,7.3,5.4,3.4,4.7,3.8,5.6,5.4,4.1,3.6,2.2,3.4,2.1,3.8,5.6,7.0,7.0,4.4,-0.1,5.2,5.1,4.5,4.2,4.8,4.9,4.5,4.3,3.9,3.3,-7.2,11.0,5.3,3.8,3.8,3.9,4.0,4.0,4.0
Chad,-6.0,-10.8,5.4,15.7,5.3,7.9,6.0,3.6,7.5,2.0,3.2,10.4,2.4,-2.1,5.5,-0.8,2.1,5.7,7.0,-0.7,-0.9,11.7,8.5,14.7,33.6,8.3,0.6,3.3,3.1,4.1,13.6,0.1,8.8,5.8,6.9,1.8,-5.6,-2.4,2.4,3.4,-2.1,-1.1,2.5,3.5,3.7,3.4,3.8,3.7,3.7
Chile,7.9,6.2,-13.6,-2.8,5.9,2.0,5.6,6.6,7.3,10.6,3.7,7.8,11.2,6.6,5.0,8.9,5.0,7.4,4.2,-0.3,5.0,3.2,3.2,4.7,6.7,5.8,6.0,5.2,3.8,-1.1,5.9,6.2,6.2,3.3,1.8,2.2,1.8,1.4,4.0,0.7,-6.1,11.7,2.4,-1.0,1.9,2.2,2.2,2.4,2.5
"China, People's Republic of",7.9,5.1,9.0,10.8,15.2,13.5,8.9,11.7,11.2,4.2,3.9,9.0,14.3,13.9,13.0,11.0,9.9,9.2,7.9,7.7,8.5,8.3,9.1,10.0,10.1,11.4,12.7,14.2,9.6,9.4,10.6,9.6,7.8,7.8,7.4,7.0,6.9,6.9,6.8,6.0,2.2,8.4,3.0,5.2,4.5,4.1,4.0,3.6,3.4
Colombia,4.4,2.3,0.9,1.6,3.4,3.1,5.8,5.4,4.1,3.4,4.3,2.4,4.4,5.7,5.1,5.2,2.1,3.4,0.6,-4.2,2.9,1.7,2.5,3.9,5.3,4.4,6.7,6.7,3.3,1.1,4.5,6.9,3.9,5.1,4.5,3.0,2.1,1.4,2.6,3.2,-7.3,11.0,7.5,1.0,1.9,2.9,3.3,3.3,3.3
Comoros,7.4,5.5,4.1,3.1,4.2,2.9,2.2,2.2,5.1,-0.8,7.4,-6.2,7.4,2.5,-4.0,5.6,-0.5,4.4,0.0,2.7,-1.0,5.4,4.6,2.0,3.1,5.7,-1.8,0.8,4.0,3.2,3.8,4.1,3.2,4.5,2.1,1.1,3.3,3.8,3.6,1.8,-0.2,2.1,2.4,3.0,3.6,4.1,4.3,4.3,4.2
Costa Rica,0.8,-2.3,-7.3,2.9,8.0,0.7,5.5,4.8,3.4,5.7,3.6,2.3,9.2,7.1,4.5,4.2,1.4,5.5,7.2,4.2,3.9,3.5,3.4,4.3,4.4,4.0,7.3,8.2,4.7,-0.9,5.4,4.4,4.9,2.5,3.5,3.7,4.2,4.2,2.6,2.4,-4.3,7.8,4.3,2.7,3.2,3.2,3.3,3.2,3.2
