Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Armenia,8.47,8.47,10.3,10.6,9.3,8.0,9.9,9.1,11.6,9.3,4.0,-4.9,-13.65,-14.1,5.4,8.0,5.2,3.4,6.3,3.2,5.9,9.5,14.8,14.1,10.5,14.1,13.2,13.7,6.9,-14.1,2.2,4.7,7.1,3.4,3.6,3.3,0.2,7.5,5.2,7.6,-7.2,5.7,12.6,5.5,5.0,5.0,5.0,5.0,5.0
Aruba,5.99,5.63,4.39,6.07,8.36,5.87,6.6,16.1,18.6,12.1,4.0,8.0,5.9,7.3,8.2,2.5,1.3,7.0,2.0,1.4,7.7,4.2,-0.9,1.1,7.3,-0.4,1.1,3.1,1.8,-11.7,-2.7,3.4,-1.0,6.4,0.0,3.6,2.1,5.5,5.3,0.6,-18.6,17.2,5.7,1.6,2.0,2.0,2.0,2.0,2.0
Asia and Pacific,4.4,5.2,4.2,5.4,6.5,5.8,5.4,6.8,7.8,5.4,5.6,4.9,5.5,5.2,5.5,6.4,6.5,4.7,1.4,4.5,5.6,3.7,5.0,6.1,6.9,7.3,7.7,8.6,5.0,4.2,8.3,6.4,5.6,5.8,5.6,5.6,5.4,5.7,5.3,4.1,-0.8,6.9,4.0,4.4,4.0,4.0,4.0,4.0,4.0
Australia,2.9,4.1,0.1,-0.5,6.3,5.5,2.4,4.9,4.3,4.6,1.5,-1.0,2.6,3.9,4.8,3.0,4.0,4.6,4.6,4.4,3.1,2.7,4.2,3.0,4.1,3.0,2.6,4.4,2.5,1.9,2.4,2.8,3.8,2.2,2.6,2.3,2.7,2.4,2.8,1.9,-1.8,5.2,3.7,1.6,2.0,2.0,2.0,2.0,2.0
Australia and New Zealand,2.6,3.9,0.5,-0.4,6.4,4.8,2.4,4.5,3.7,4.1,1.3,-1.0,2.3,4.1,4.9,3.2,4.0,4.3,4.1,4.4,3.2,2.6,4.2,3.2,4.2,3.0,2.6,4.3,2.2,1.6,2.3,2.6,3.6,2.2,2.7,2.5,2.9,2.5,2.9,2.1,-1.8,5.3,3.5,1.5,2.0,2.0,2.0,2.0,2.0
Austria,2.3,-0.1,1.9,2.8,0.3,2.2,2.3,1.7,1.0,3.9,4.3,3.4,2.1,0.5,2.4,2.7,2.4,2.1,3.6,3.6,3.4,1.3,1.7,0.9,2.7,2.2,3.5,3.7,1.5,-3.8,1.8,2.9,0.7,0.0,0.7,1.0,2.0,2.3,2.4,1.5,-6.5,4.6,5.0,0.4,2.0,2.0,2.0,2.0,2.0
Azerbaijan,7.97,7.97,9.8,10.1,8.8,7.5,9.4,8.6,11.1,8.8,3.5,-5.4,-14.15,-23.1,-19.7,-13.0,2.5,8.9,6.0,11.4,6.2,6.5,9.4,10.2,9.3,28.0,34.5,25.5,10.6,9.4,4.8,-1.6,2.2,5.8,2.8,1.0,-3.1,0.2,1.5,2.5,-4.2,5.6,4.6,3.0,3.0,3.0,3.0,3.0,3.0
Bahrain,7.5,2.8,6.4,7.0,4.2,-0.9,0.5,-1.2,6.0,1.0,3.5,2.3,7.1,7.6,3.2,1.9,3.2,2.3,4.8,6.0,7.0,2.5,3.3,6.3,7.0,6.8,6.5,8.3,6.2,2.5,4.3,2.0,3.7,5.4,4.4,2.5,3.6,4.3,2.1,2.2,-4.6,2.7,4.2,3.0,3.0,3.0,3.0,3.0,3.0
Bangladesh,5.12,3.8,2.4,4.0,5.2,3.2,4.2,3.7,2.2,2.6,5.9,3.3,5.0,4.6,4.1,4.9,4.6,4.5,5.2,4.7,5.3,5.1,3.8,4.7,5.2,6.5,6.7,7.1,6.0,5.0,5.6,6.5,6.5,6.0,6.1,6.6,7.1,6.6,7.3,7.9,3.4,6.9,7.1,5.5,6.0,6.0,6.0,6.0,6.0
Barbados,4.4,-1.9,-4.9,0.5,3.6,1.1,5.1,2.6,3.5,3.6,-3.3,-3.9,-5.7,0.8,2.0,2.0,4.0,4.7,3.7,0.3,4.5,-2.4,0.8,2.2,1.4,4.0,5.7,2.2,0.7,-5.1,-2.3,-0.7,-0.4,-1.4,-0.1,2.4,2.5,0.5,-0.6,-0.5,-13.3,-0.2,10.0,4.9,3.0,3.0,3.0,3.0,3.0
